status_code,status_message,status_totalCount,subwayLine,stationName,stationCode,gender,ageGrp,exit,userCount,datetime,date,hour
00,success,1,2호선,뚝섬역,210,all,all,5,1083,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,5,624,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,5,554,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,5,336,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,5,137,20260225230000,2026-02-25,23
00,success,1,2호선,뚝섬역,210,all,all,6,14,20260225050000,2026-02-25,05
00,success,1,2호선,뚝섬역,210,all,all,6,45,20260225060000,2026-02-25,06
00,success,1,2호선,뚝섬역,210,all,all,6,158,20260225070000,2026-02-25,07
00,success,1,2호선,뚝섬역,210,all,all,6,441,20260225080000,2026-02-25,08
00,success,1,2호선,뚝섬역,210,all,all,6,200,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,6,101,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,6,84,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,6,69,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,6,89,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,6,67,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,6,86,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,6,132,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,6,234,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,6,359,20260225180000,2026-02-25,18
00,success,1,2호선,뚝섬역,210,all,all,6,161,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,6,94,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,6,85,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,6,52,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,6,57,20260225230000,2026-02-25,23
00,success,1,2호선,뚝섬역,210,all,all,7,6,20260225050000,2026-02-25,05
00,success,1,2호선,뚝섬역,210,all,all,7,20,20260225060000,2026-02-25,06
00,success,1,2호선,뚝섬역,210,all,all,7,68,20260225070000,2026-02-25,07
00,success,1,2호선,뚝섬역,210,all,all,7,204,20260225080000,2026-02-25,08
00,success,1,2호선,뚝섬역,210,all,all,7,102,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,7,62,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,7,77,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,7,57,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,7,84,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,7,50,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,7,64,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,7,80,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,7,183,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,7,195,20260225180000,2026-02-25,18
00,success,1,2호선,뚝섬역,210,all,all,7,164,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,7,73,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,7,70,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,7,55,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,7,26,20260225230000,2026-02-25,23
00,success,1,2호선,뚝섬역,210,all,all,8,0,20260225050000,2026-02-25,05
00,success,1,2호선,뚝섬역,210,all,all,8,73,20260225060000,2026-02-25,06
00,success,1,2호선,뚝섬역,210,all,all,8,198,20260225070000,2026-02-25,07
00,success,1,2호선,뚝섬역,210,all,all,8,431,20260225080000,2026-02-25,08
00,success,1,2호선,뚝섬역,210,all,all,8,328,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,8,124,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,8,159,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,8,105,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,8,189,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,8,136,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,8,149,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,8,220,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,8,312,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,8,502,20260225180000,2026-02-25,18
00,success,1,2호선,뚝섬역,210,all,all,8,318,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,8,190,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,8,114,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,8,63,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,8,65,20260225230000,2026-02-25,23
00,success,1,수인분당선,서울숲역,K211,all,all,1,8,20260225050000,2026-02-25,05
00,success,1,수인분당선,서울숲역,K211,all,all,1,10,20260225060000,2026-02-25,06
00,success,1,수인분당선,서울숲역,K211,all,all,1,22,20260225070000,2026-02-25,07
00,success,1,수인분당선,서울숲역,K211,all,all,1,75,20260225080000,2026-02-25,08
00,success,1,수인분당선,서울숲역,K211,all,all,1,39,20260225090000,2026-02-25,09
00,success,1,수인분당선,서울숲역,K211,all,all,1,20,20260225100000,2026-02-25,10
00,success,1,수인분당선,서울숲역,K211,all,all,1,18,20260225110000,2026-02-25,11
00,success,1,수인분당선,서울숲역,K211,all,all,1,12,20260225120000,2026-02-25,12
00,success,1,수인분당선,서울숲역,K211,all,all,1,25,20260225130000,2026-02-25,13
00,success,1,수인분당선,서울숲역,K211,all,all,1,16,20260225140000,2026-02-25,14
00,success,1,수인분당선,서울숲역,K211,all,all,1,14,20260225150000,2026-02-25,15
00,success,1,수인분당선,서울숲역,K211,all,all,1,40,20260225160000,2026-02-25,16
00,success,1,수인분당선,서울숲역,K211,all,all,1,45,20260225170000,2026-02-25,17
00,success,1,수인분당선,서울숲역,K211,all,all,1,68,20260225180000,2026-02-25,18
00,success,1,수인분당선,서울숲역,K211,all,all,1,53,20260225190000,2026-02-25,19
00,success,1,수인분당선,서울숲역,K211,all,all,1,26,20260225200000,2026-02-25,20
00,success,1,수인분당선,서울숲역,K211,all,all,1,15,20260225210000,2026-02-25,21
00,success,1,수인분당선,서울숲역,K211,all,all,1,10,20260225220000,2026-02-25,22
00,success,1,수인분당선,서울숲역,K211,all,all,1,12,20260225230000,2026-02-25,23
00,success,1,수인분당선,서울숲역,K211,all,all,2,10,20260225050000,2026-02-25,05
00,success,1,수인분당선,서울숲역,K211,all,all,2,91,20260225060000,2026-02-25,06
00,success,1,수인분당선,서울숲역,K211,all,all,2,276,20260225070000,2026-02-25,07
00,success,1,수인분당선,서울숲역,K211,all,all,2,655,20260225080000,2026-02-25,08
00,success,1,수인분당선,서울숲역,K211,all,all,2,320,20260225090000,2026-02-25,09
00,success,1,수인분당선,서울숲역,K211,all,all,2,168,20260225100000,2026-02-25,10
00,success,1,수인분당선,서울숲역,K211,all,all,2,117,20260225110000,2026-02-25,11
00,success,1,수인분당선,서울숲역,K211,all,all,2,68,20260225120000,2026-02-25,12
00,success,1,수인분당선,서울숲역,K211,all,all,2,159,20260225130000,2026-02-25,13
00,success,1,수인분당선,서울숲역,K211,all,all,2,153,20260225140000,2026-02-25,14
00,success,1,수인분당선,서울숲역,K211,all,all,2,143,20260225150000,2026-02-25,15
00,success,1,수인분당선,서울숲역,K211,all,all,2,204,20260225160000,2026-02-25,16
00,success,1,수인분당선,서울숲역,K211,all,all,2,336,20260225170000,2026-02-25,17
00,success,1,수인분당선,서울숲역,K211,all,all,2,529,20260225180000,2026-02-25,18
00,success,1,수인분당선,서울숲역,K211,all,all,2,286,20260225190000,2026-02-25,19
00,success,1,수인분당선,서울숲역,K211,all,all,2,214,20260225200000,2026-02-25,20
00,success,1,수인분당선,서울숲역,K211,all,all,2,132,20260225210000,2026-02-25,21
00,success,1,수인분당선,서울숲역,K211,all,all,2,113,20260225220000,2026-02-25,22
00,success,1,수인분당선,서울숲역,K211,all,all,2,35,20260225230000,2026-02-25,23
00,success,1,수인분당선,서울숲역,K211,all,all,3,24,20260225050000,2026-02-25,05
00,success,1,수인분당선,서울숲역,K211,all,all,3,103,20260225060000,2026-02-25,06
00,success,1,수인분당선,서울숲역,K211,all,all,3,438,20260225070000,2026-02-25,07
00,success,1,수인분당선,서울숲역,K211,all,all,3,681,20260225080000,2026-02-25,08
00,success,1,수인분당선,서울숲역,K211,all,all,3,412,20260225090000,2026-02-25,09
00,success,1,수인분당선,서울숲역,K211,all,all,3,237,20260225100000,2026-02-25,10
00,success,1,수인분당선,서울숲역,K211,all,all,3,171,20260225110000,2026-02-25,11
00,success,1,수인분당선,서울숲역,K211,all,all,3,109,20260225120000,2026-02-25,12
00,success,1,수인분당선,서울숲역,K211,all,all,3,227,20260225130000,2026-02-25,13
00,success,1,수인분당선,서울숲역,K211,all,all,3,245,20260225140000,2026-02-25,14
00,success,1,수인분당선,서울숲역,K211,all,all,3,263,20260225150000,2026-02-25,15
00,success,1,수인분당선,서울숲역,K211,all,all,3,367,20260225160000,2026-02-25,16
00,success,1,수인분당선,서울숲역,K211,all,all,3,516,20260225170000,2026-02-25,17
00,success,1,수인분당선,서울숲역,K211,all,all,3,840,20260225180000,2026-02-25,18
00,success,1,수인분당선,서울숲역,K211,all,all,3,456,20260225190000,2026-02-25,19
00,success,1,수인분당선,서울숲역,K211,all,all,3,261,20260225200000,2026-02-25,20
00,success,1,수인분당선,서울숲역,K211,all,all,3,139,20260225210000,2026-02-25,21
00,success,1,수인분당선,서울숲역,K211,all,all,3,127,20260225220000,2026-02-25,22
00,success,1,수인분당선,서울숲역,K211,all,all,3,24,20260225230000,2026-02-25,23
00,success,1,수인분당선,서울숲역,K211,all,all,4,26,20260225050000,2026-02-25,05
00,success,1,수인분당선,서울숲역,K211,all,all,4,38,20260225060000,2026-02-25,06
00,success,1,수인분당선,서울숲역,K211,all,all,4,109,20260225070000,2026-02-25,07
00,success,1,수인분당선,서울숲역,K211,all,all,4,227,20260225080000,2026-02-25,08
00,success,1,수인분당선,서울숲역,K211,all,all,4,163,20260225090000,2026-02-25,09
00,success,1,수인분당선,서울숲역,K211,all,all,4,117,20260225100000,2026-02-25,10
00,success,1,수인분당선,서울숲역,K211,all,all,4,87,20260225110000,2026-02-25,11
00,success,1,수인분당선,서울숲역,K211,all,all,4,73,20260225120000,2026-02-25,12
00,success,1,수인분당선,서울숲역,K211,all,all,4,86,20260225130000,2026-02-25,13
00,success,1,수인분당선,서울숲역,K211,all,all,4,89,20260225140000,2026-02-25,14
00,success,1,수인분당선,서울숲역,K211,all,all,4,83,20260225150000,2026-02-25,15
00,success,1,수인분당선,서울숲역,K211,all,all,4,143,20260225160000,2026-02-25,16
00,success,1,수인분당선,서울숲역,K211,all,all,4,207,20260225170000,2026-02-25,17
00,success,1,수인분당선,서울숲역,K211,all,all,4,353,20260225180000,2026-02-25,18
00,success,1,수인분당선,서울숲역,K211,all,all,4,198,20260225190000,2026-02-25,19
00,success,1,수인분당선,서울숲역,K211,all,all,4,109,20260225200000,2026-02-25,20
