date,hour,stationName,lineNm,stnCd,stnNo,trnscdSeCd,trnscdSeCdNm,trnscdUserSeCd,trnscdUserSeCdNm,rideNope,gffNope,totalNope
2026-02-25,15,성수역,2호선,0211,211,2,후불카드,01,일반,1423,1639,3062
2026-02-25,15,성수역,2호선,0211,211,1,선불카드,99,기타,11,10,21
2026-02-25,15,성수역,2호선,0211,211,1,선불카드,100,우대권,356,268,624
2026-02-25,15,성수역,2호선,0211,211,1,선불카드,04,청소년,181,229,410
2026-02-25,15,성수역,2호선,0211,211,1,선불카드,03,중고생,0,2,2
2026-02-25,15,성수역,2호선,0211,211,1,선불카드,02,어린이,41,27,68
2026-02-25,15,성수역,2호선,0211,211,1,선불카드,01,일반,1423,1525,2948
2026-02-25,14,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,0,4,4
2026-02-25,14,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,7,10,17
2026-02-25,14,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,14,7,21
2026-02-25,14,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,7,6,13
2026-02-25,14,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,5,4,9
2026-02-25,14,성수역,2호선,0211,211,C,1회용교통카드,11,일반,4,6,10
2026-02-25,14,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,2,6,8
2026-02-25,14,성수역,2호선,0211,211,B,정기권카드,01,일반,2,1,3
2026-02-25,14,성수역,2호선,0211,211,2,후불카드,100,우대권,24,12,36
2026-02-25,14,성수역,2호선,0211,211,2,후불카드,04,청소년,43,89,132
2026-02-25,14,성수역,2호선,0211,211,2,후불카드,02,어린이,2,0,2
2026-02-25,14,성수역,2호선,0211,211,2,후불카드,01,일반,981,1691,2672
2026-02-25,14,성수역,2호선,0211,211,1,선불카드,99,기타,11,9,20
2026-02-25,14,성수역,2호선,0211,211,1,선불카드,100,우대권,310,256,566
2026-02-25,14,성수역,2호선,0211,211,1,선불카드,04,청소년,150,266,416
2026-02-25,14,성수역,2호선,0211,211,1,선불카드,03,중고생,0,0,0
2026-02-25,14,성수역,2호선,0211,211,1,선불카드,02,어린이,32,27,59
2026-02-25,14,성수역,2호선,0211,211,1,선불카드,01,일반,1135,1616,2751
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,0,1,1
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,44,영어 어린이,0,1,1
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,0,21,21
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,9,21,30
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,0,14,14
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,2,5,7
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,11,일반,5,12,17
2026-02-25,13,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,10,3,13
2026-02-25,13,성수역,2호선,0211,211,2,후불카드,100,우대권,24,19,43
2026-02-25,13,성수역,2호선,0211,211,2,후불카드,04,청소년,27,79,106
2026-02-25,13,성수역,2호선,0211,211,2,후불카드,01,일반,738,1774,2512
2026-02-25,13,성수역,2호선,0211,211,1,선불카드,99,기타,6,4,10
2026-02-25,13,성수역,2호선,0211,211,1,선불카드,100,우대권,257,236,493
2026-02-25,13,성수역,2호선,0211,211,1,선불카드,04,청소년,87,229,316
2026-02-25,13,성수역,2호선,0211,211,1,선불카드,03,중고생,1,2,3
2026-02-25,13,성수역,2호선,0211,211,1,선불카드,02,어린이,22,25,47
2026-02-25,13,성수역,2호선,0211,211,1,선불카드,01,일반,875,1783,2658
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,0,7,7
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,45,일어 어린이,0,1,1
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,44,영어 어린이,0,0,0
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,0,33,33
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,9,34,43
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,0,11,11
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,3,13,16
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,11,일반,6,11,17
2026-02-25,12,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,8,10,18
2026-02-25,12,성수역,2호선,0211,211,B,정기권카드,01,일반,0,1,1
2026-02-25,12,성수역,2호선,0211,211,2,후불카드,100,우대권,10,11,21
2026-02-25,12,성수역,2호선,0211,211,2,후불카드,04,청소년,13,86,99
2026-02-25,12,성수역,2호선,0211,211,2,후불카드,02,어린이,0,1,1
2026-02-25,12,성수역,2호선,0211,211,2,후불카드,01,일반,515,1612,2127
2026-02-25,12,성수역,2호선,0211,211,1,선불카드,99,기타,7,6,13
2026-02-25,12,성수역,2호선,0211,211,1,선불카드,100,우대권,239,234,473
2026-02-25,12,성수역,2호선,0211,211,1,선불카드,04,청소년,46,246,292
2026-02-25,12,성수역,2호선,0211,211,1,선불카드,02,어린이,14,42,56
2026-02-25,12,성수역,2호선,0211,211,1,선불카드,01,일반,570,1837,2407
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,1,2,3
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,45,일어 어린이,0,1,1
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,44,영어 어린이,0,1,1
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,1,25,26
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,2,16,18
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,2,13,15
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,0,6,6
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,11,일반,1,8,9
2026-02-25,11,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,2,9,11
2026-02-25,11,성수역,2호선,0211,211,B,정기권카드,01,일반,0,1,1
2026-02-25,11,성수역,2호선,0211,211,2,후불카드,100,우대권,20,17,37
2026-02-25,11,성수역,2호선,0211,211,2,후불카드,04,청소년,6,82,88
2026-02-25,11,성수역,2호선,0211,211,2,후불카드,02,어린이,1,2,3
2026-02-25,11,성수역,2호선,0211,211,2,후불카드,01,일반,385,1393,1778
2026-02-25,11,성수역,2호선,0211,211,1,선불카드,99,기타,5,4,9
2026-02-25,11,성수역,2호선,0211,211,1,선불카드,100,우대권,265,279,544
2026-02-25,11,성수역,2호선,0211,211,1,선불카드,04,청소년,19,242,261
2026-02-25,11,성수역,2호선,0211,211,1,선불카드,03,중고생,0,1,1
2026-02-25,11,성수역,2호선,0211,211,1,선불카드,02,어린이,4,50,54
2026-02-25,11,성수역,2호선,0211,211,1,선불카드,01,일반,384,1796,2180
2026-02-25,10,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,1,16,17
2026-02-25,10,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,0,21,21
2026-02-25,10,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,0,5,5
2026-02-25,10,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,1,3,4
2026-02-25,10,성수역,2호선,0211,211,C,1회용교통카드,11,일반,3,13,16
2026-02-25,10,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,2,13,15
2026-02-25,10,성수역,2호선,0211,211,B,정기권카드,01,일반,1,0,1
2026-02-25,10,성수역,2호선,0211,211,2,후불카드,100,우대권,9,23,32
2026-02-25,10,성수역,2호선,0211,211,2,후불카드,04,청소년,4,33,37
2026-02-25,10,성수역,2호선,0211,211,2,후불카드,02,어린이,0,1,1
2026-02-25,10,성수역,2호선,0211,211,2,후불카드,01,일반,348,1976,2324
2026-02-25,10,성수역,2호선,0211,211,1,선불카드,99,기타,8,19,27
2026-02-25,10,성수역,2호선,0211,211,1,선불카드,100,우대권,220,267,487
2026-02-25,10,성수역,2호선,0211,211,1,선불카드,04,청소년,12,141,153
2026-02-25,10,성수역,2호선,0211,211,1,선불카드,03,중고생,0,2,2
2026-02-25,10,성수역,2호선,0211,211,1,선불카드,02,어린이,1,25,26
2026-02-25,10,성수역,2호선,0211,211,1,선불카드,01,일반,275,2049,2324
2026-02-25,09,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,0,1,1
2026-02-25,09,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,0,2,2
2026-02-25,09,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,3,15,18
2026-02-25,09,성수역,2호선,0211,211,C,1회용교통카드,11,일반,1,7,8
2026-02-25,09,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,3,6,9
2026-02-25,09,성수역,2호선,0211,211,B,정기권카드,01,일반,2,4,6
2026-02-25,09,성수역,2호선,0211,211,2,후불카드,100,우대권,9,29,38
2026-02-25,09,성수역,2호선,0211,211,2,후불카드,04,청소년,1,22,23
2026-02-25,09,성수역,2호선,0211,211,2,후불카드,02,어린이,1,0,1
2026-02-25,09,성수역,2호선,0211,211,2,후불카드,01,일반,324,4032,4356
2026-02-25,09,성수역,2호선,0211,211,1,선불카드,99,기타,17,4,21
2026-02-25,09,성수역,2호선,0211,211,1,선불카드,100,우대권,210,317,527
2026-02-25,09,성수역,2호선,0211,211,1,선불카드,04,청소년,10,74,84
2026-02-25,09,성수역,2호선,0211,211,1,선불카드,02,어린이,3,9,12
2026-02-25,09,성수역,2호선,0211,211,1,선불카드,01,일반,333,3597,3930
2026-02-25,08,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,0,0,0
2026-02-25,08,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,0,8,8
2026-02-25,08,성수역,2호선,0211,211,C,1회용교통카드,11,일반,3,10,13
2026-02-25,08,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,1,4,5
2026-02-25,08,성수역,2호선,0211,211,B,정기권카드,01,일반,5,17,22
2026-02-25,08,성수역,2호선,0211,211,2,후불카드,100,우대권,7,61,68
2026-02-25,08,성수역,2호선,0211,211,2,후불카드,04,청소년,1,8,9
2026-02-25,08,성수역,2호선,0211,211,2,후불카드,01,일반,507,6232,6739
2026-02-25,08,성수역,2호선,0211,211,1,선불카드,99,기타,6,22,28
2026-02-25,08,성수역,2호선,0211,211,1,선불카드,100,우대권,170,391,561
2026-02-25,08,성수역,2호선,0211,211,1,선불카드,04,청소년,11,22,33
2026-02-25,08,성수역,2호선,0211,211,1,선불카드,02,어린이,1,1,2
2026-02-25,08,성수역,2호선,0211,211,1,선불카드,01,일반,458,5329,5787
2026-02-25,07,성수역,2호선,0211,211,C,1회용교통카드,11,일반,0,1,1
2026-02-25,07,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,1,0,1
2026-02-25,07,성수역,2호선,0211,211,B,정기권카드,01,일반,2,13,15
2026-02-25,07,성수역,2호선,0211,211,2,후불카드,100,우대권,9,33,42
2026-02-25,07,성수역,2호선,0211,211,2,후불카드,04,청소년,4,1,5
2026-02-25,07,성수역,2호선,0211,211,2,후불카드,01,일반,365,1676,2041
2026-02-25,07,성수역,2호선,0211,211,1,선불카드,99,기타,6,12,18
2026-02-25,07,성수역,2호선,0211,211,1,선불카드,100,우대권,134,356,490
2026-02-25,07,성수역,2호선,0211,211,1,선불카드,04,청소년,14,8,22
2026-02-25,07,성수역,2호선,0211,211,1,선불카드,01,일반,372,1474,1846
2026-02-25,06,성수역,2호선,0211,211,C,1회용교통카드,11,일반,1,1,2
2026-02-25,06,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,1,1,2
2026-02-25,06,성수역,2호선,0211,211,B,정기권카드,01,일반,0,1,1
2026-02-25,06,성수역,2호선,0211,211,2,후불카드,100,우대권,6,24,30
2026-02-25,06,성수역,2호선,0211,211,2,후불카드,04,청소년,1,2,3
2026-02-25,06,성수역,2호선,0211,211,2,후불카드,01,일반,103,671,774
2026-02-25,06,성수역,2호선,0211,211,1,선불카드,99,기타,3,1,4
2026-02-25,06,성수역,2호선,0211,211,1,선불카드,100,우대권,96,356,452
2026-02-25,06,성수역,2호선,0211,211,1,선불카드,04,청소년,3,7,10
2026-02-25,06,성수역,2호선,0211,211,1,선불카드,01,일반,114,565,679
2026-02-25,05,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,1,0,1
2026-02-25,05,성수역,2호선,0211,211,B,정기권카드,01,일반,0,0,0
2026-02-25,05,성수역,2호선,0211,211,2,후불카드,100,우대권,1,5,6
2026-02-25,05,성수역,2호선,0211,211,2,후불카드,04,청소년,1,0,1
2026-02-25,05,성수역,2호선,0211,211,2,후불카드,01,일반,59,76,135
2026-02-25,05,성수역,2호선,0211,211,1,선불카드,100,우대권,62,98,160
2026-02-25,05,성수역,2호선,0211,211,1,선불카드,04,청소년,1,0,1
2026-02-25,05,성수역,2호선,0211,211,1,선불카드,01,일반,57,90,147
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,45,일어 어린이,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,44,영어 어린이,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,11,일반,0,0,0
2026-02-25,04,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,0,0,0
2026-02-25,04,성수역,2호선,0211,211,B,정기권카드,01,일반,0,0,0
2026-02-25,04,성수역,2호선,0211,211,2,후불카드,100,우대권,0,0,0
2026-02-25,04,성수역,2호선,0211,211,2,후불카드,04,청소년,0,0,0
2026-02-25,04,성수역,2호선,0211,211,2,후불카드,02,어린이,0,0,0
2026-02-25,04,성수역,2호선,0211,211,2,후불카드,01,일반,0,0,0
2026-02-25,04,성수역,2호선,0211,211,1,선불카드,99,기타,0,0,0
2026-02-25,04,성수역,2호선,0211,211,1,선불카드,100,우대권,1,0,1
2026-02-25,04,성수역,2호선,0211,211,1,선불카드,04,청소년,0,0,0
2026-02-25,04,성수역,2호선,0211,211,1,선불카드,03,중고생,0,0,0
2026-02-25,04,성수역,2호선,0211,211,1,선불카드,02,어린이,0,0,0
2026-02-25,04,성수역,2호선,0211,211,1,선불카드,01,일반,1,0,1
2026-02-25,01,성수역,2호선,0211,211,2,후불카드,01,일반,0,22,22
2026-02-25,01,성수역,2호선,0211,211,1,선불카드,99,기타,0,4,4
2026-02-25,01,성수역,2호선,0211,211,1,선불카드,100,우대권,0,1,1
2026-02-25,01,성수역,2호선,0211,211,1,선불카드,04,청소년,0,1,1
2026-02-25,01,성수역,2호선,0211,211,1,선불카드,01,일반,0,24,24
2026-02-25,00,성수역,2호선,0211,211,C,1회용교통카드,11,일반,1,1,2
