storeId,storeNm,road_address,site_address,floor,category_bg,category_mi,category_sl,x,y,fam_미혼,fam_기혼,fam_유자녀,gender_f_20대,gender_f_30대,gender_f_40대,gender_f_50대,gender_f_60대,gender_m_20대,gender_m_30대,gender_m_40대,gender_m_50대,gender_m_60대,peco_개인,peco_법인,peco_외국인,times_아침,times_점심,times_오후,times_저녁,times_밤,times_심야,times_새벽,wdwe_평일,wdwe_공휴일,revfreq_평일,revfreq_공휴일,weekday_월,weekday_화,weekday_수,weekday_목,weekday_금,weekday_토,weekday_일,2018_store,2018_deli,2018_cnt,2019_store,2019_deli,2019_cnt,2020_store,2020_deli,2020_cnt,2021_store,2021_deli,2021_cnt,2022_store,2022_deli,2022_cnt,2023_store,2023_deli,2023_cnt,2024_store,2024_deli,2024_cnt,2025_store,2025_deli,2025_cnt
0105132443,교동집,서울특별시 성동구 성덕정길 74-1,서울 성동구 성수2가1동 347-4번지,,소매,음/식료품,식료품,127.0517728,37.5379114,0,0,192,0,0,0,14,161,0,0,0,0,16,192,0,0,0,75,72,9,34,0,0,8,3,40.0,30.0,0,6,15,1,8,9,0,582,0,266,910,0,451,931,0,533,1823,0,867,1961,0,717,2285,0,762,2420,0,697,1230,0,608
0126786177,그린치앙마이,서울특별시 성동구 서울숲2길 11-12,서울 성동구 성수1가2동 685-337번지 지하1층,,음식,한식,한식 요리-기타,127.0401205,37.5475606,624,67,633,180,319,223,135,28,77,204,61,60,32,1324,110,0,0,793,58,493,89,0,0,39,56,3.3,1.7,33,36,43,43,48,94,24,0,0,0,0,0,0,0,0,0,0,0,0,15222,0,3959,23588,0,6273,20892,0,5666,13308,0,3429
0137142469,주식회사 엘엠디,서울특별시 성동구 뚝섬로5길 15,서울 성동구 성수동1가 31-17번지 5층,,소매,의복,일상복 판매,127.0507029,37.5413523,3055,0,302,781,0,0,0,0,1339,934,0,302,0,3357,392,1390.0,0,485,1582,1681,0,0,0,139,94,0.0,10.0,143,51,164,173,103,75,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,0,162,16722,0,862
0121662019,프로젝트미소,서울특별시 성동구 서울숲2길 45-1,서울 성동구 성수1가2동 668-40번지 1층 104호,,소매,의복,일상복 판매,127.0438273,37.5463807,120,36,274,104,49,33,67,83,0,23,15,53,0,431,0,414.0,0,144,208,48,29,0,0,12,15,0.0,8.3,13,13,9,18,3,16,24,0,0,0,0,0,0,0,0,0,12463,0,4791,10263,0,4448,8127,0,3852,10153,0,4288,6480,0,2793
0123860678,위에뜰 성수점,서울특별시 성동구 연무장7길 4,서울 성동구 성수2가3동 315-54번지 해피드림 3층,,서비스,헤어/이발/미용,미용실,127.0546063,37.5430003,2022,102,1044,1507,423,182,276,14,38,229,2,265,228,3168,88,1368.0,14,681,1027,1080,358,94,0,42,191,14.8,3.3,51,59,118,77,142,139,141,0,0,0,0,0,0,0,0,0,7557,0,1292,19857,0,4157,23204,0,4881,29699,0,4429,43396,0,5223
0125353060,이.블룸,서울특별시 성동구 아차산로7길 9-2,서울 성동구 성수2가3동 289-26번지 2층,,서비스,헤어/이발/미용,미용실,127.0543849,37.5461461,63,41,160,0,7,68,9,110,0,63,5,0,0,265,0,0,0,91,174,0,0,0,0,7,10,50.0,0.0,0,0,0,1,25,33,0,0,0,0,0,0,0,0,0,0,240,0,76,5362,0,1189,3737,0,770,3463,0,803,3128,0,578
0130370570,비도 (bido),서울특별시 성동구 왕십리로4길 24-7,서울 성동구 성수1가2동 8-36번지 2층,,음식,카페/커피/찻집,카페/디저트,127.0466489,37.5468378,576,17,71,402,155,4,14,0,45,31,10,0,0,664,7,27.0,0,110,258,215,87,0,0,20,23,4.0,5.3,0,19,23,11,30,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12608,0,8631,12403,95,8488,7751,0,5260
0134436906,주식회사위즈포트,서울특별시 성동구 왕십리로6길 21,서울 성동구 성수동1가 10-1번지 1층 101호,,음식,한식,한식 요리-기타,127.0471938,37.5456636,13,1,35,6,2,11,0,0,0,7,8,0,15,50,2,0,2,44,5,0,0,0,0,2,0,43.8,6.3,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58664,0,16447,11178,0,4261
0115166969,토원마블상회,서울특별시 성동구 연무장7길 7,서울 성동구 성수2가3동 316-60번지 1층,1층,음식,한식,고기구이/육회 전문점,127.0543992,37.5433637,941,0,353,126,0,333,0,0,102,501,103,85,42,1294,4607,2306.0,0,0,0,1159,3881,861,0,304,32,23.1,7.7,37,141,259,535,206,43,0,0,0,0,21552,0,2021,59177,0,5809,53217,0,5371,132589,0,7824,86062,0,4476,83214,0,2895,92735,0,4129
0114042260,이마트24 R성수역점,서울특별시 성동구 성수이로 113,서울 성동구 성수2가3동 289-10번지 1층,1층,소매,편의점,편의점,127.0570639,37.5452923,2072,101,1337,193,166,818,97,64,253,795,431,431,258,3511,380,55.0,877,1054,595,845,312,205,0,197,26,42.1,31.1,151,148,176,124,178,74,0,0,0,0,34397,0,70435,61356,0,117104,56363,39,91568,52322,167,81519,66416,229,74070,45160,111,61142,34417,0,44018
