wkt_geom,ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
Point (127.05539960000000121 37.53858661000000296),100100201,2224,17,103000096,4195,뚝도시장,127.0553996,37.53858661
Point (127.05701179999999795 37.53816503000000182),100100201,2224,18,103000094,4193,경수중학교,127.0570118,37.53816503
Point (127.06013210000000413 37.5373416899999981),100100201,2224,19,103000092,4191,성수119안전센터,127.0601321,37.53734169
Point (127.05999699999999564 37.53753199999999879),100100201,2224,38,103000093,4192,성수119안전센터,127.059997,37.537532
Point (127.05729820000000529 37.53828654000000142),100100201,2224,39,103000095,4194,경수중학교,127.0572982,37.53828654
Point (127.05526000000000408 37.5388499999999965),100100201,2224,40,103000097,4196,뚝도시장,127.05526,37.53885
Point (127.05284500000000492 37.53951099999999741),100100201,2224,41,103000099,4198,성원중.성수2가제1동주민센터,127.052845,37.539511
Point (127.05075960000000634 37.5400388300000003),100100201,2224,42,103000083,4182,성원중학교후문,127.0507596,37.54003883
Point (127.048207000000005 37.54077199999999692),100100201,2224,43,103000143,4245,경일초등학교앞,127.048207,37.540772
Point (127.04948000000000263 37.54377000000000209),100100201,2224,44,103000141,4243,경동초등학교입구,127.04948,37.54377
Point (127.05022800000000416 37.54588799999999793),100100201,2224,45,103000139,4241,SK테크노빌딩앞,127.050228,37.545888
Point (127.05383000000000493 37.54542000000000002),100100201,2224,46,103000138,4240,성수역1번출구,127.05383,37.54542
Point (127.04927000000000703 37.54679999999999751),100100201,2224,47,103000137,4239,뚝섬역4번출구,127.04927,37.5468
Point (127.04684600000000216 37.54757500000000192),100100201,2224,48,103000135,4237,뚝섬역2번출구,127.046846,37.547575
Point (127.04453300000000127 37.54649299999999812),100100201,2224,49,103000081,4180,성동구민종합체육센터,127.044533,37.546493
Point (127.04450099999999679 37.5430640000000011),100100201,2224,50,103000079,4178,서울숲역3번출구,127.044501,37.543064
Point (127.04398999999999376 37.54140699999999953),100100201,2224,51,103000077,4176,뚝도아리수정수센터.수도박물관,127.04399,37.541407
Point (127.04607400000000439 37.53930553000000003),100100201,2224,52,103000075,4174,천주교성수동성당앞,127.046074,37.53930553
Point (127.04954999999999643 37.53822000000000259),100100201,2224,53,103000072,4171,성수1가1동새마을금고,127.04955,37.53822
Point (127.05234199999999589 37.53786800000000312),100100201,2224,54,103000100,4199,서울숲지구대앞,127.052342,37.537868
Point (127.05526999999999305 37.53719199999999745),100100201,2224,55,103000102,4201,뚝도시장구길,127.05527,37.537192
Point (127.06074200000000474 37.53694500000000289),100100407,240,49,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.05568200000000445 37.53579299999999819),100100209,2412,1,103000183,4286,성수동차고지,127.055682,37.535793
Point (127.05492680000000405 37.53755206999999672),100100209,2412,2,103000103,4202,뚝도시장구길,127.0549268,37.53755207
Point (127.05225889999999822 37.53805092000000343),100100209,2412,3,103000101,4200,서울숲지구대앞,127.0522589,37.53805092
Point (127.04950999999999794 37.53833000000000197),100100209,2412,4,103000073,4172,성수1가새마을금고,127.04951,37.53833
Point (127.0461389999999966 37.53936999999999813),100100209,2412,5,103000074,4173,천주교성수동성당앞,127.046139,37.53937
Point (127.04420260000000553 37.54097723999999658),100100209,2412,6,103000076,4175,뚝도아리수정수센터.수도박물관,127.0442026,37.54097724
Point (127.04637200000000519 37.54107900000000342),100100209,2412,7,103000084,4183,경일초등학교입구,127.046372,37.541079
Point (127.05031499999999767 37.53997242999999884),100100209,2412,8,103000082,4181,성원중학교후문,127.050315,37.53997243
Point (127.05342650000000049 37.53909394000000077),100100209,2412,9,103000098,4197,성원중.성수2가제1동주민센터,127.0534265,37.53909394
Point (127.05539960000000121 37.53858661000000296),100100209,2412,10,103000096,4195,뚝도시장,127.0553996,37.53858661
